line,member
maeil ullineun bel bel bel,Nayeon
 ijen nareul baeryeo hae jweo,Nayeon
 baeteori nangbihagin shireo,Nayeon
jakkuman bwa jakkujakkuman wa,Mina
 jeonhwaga peong teojil kkeonman gata,Mina
molla molla sumdo mot shwindae,Sana
 na ttaemune himdeureo,Sana
 kung shimjangi tteoreojindae wae,Sana
gyae mareun na neomu yeppeudae,Mina
 jaranghaneungeon anigo,Mina
Ah akkaneun motbadaseo mianhae,Tzuyu
chingureul mannaneura Shy shy shy,Sana
mannagin jom geureoku mianhae,Tzuyu
jom itta yeollakalkke Later,Mina
joreuji ma eolma gaji ana,Momo
 bureuge haejulkke Baby,Momo
ajigeun jom illeo naemam gatgin illeo,Jeongyeon
 hajiman deo boyeojullae,Jeongyeon
"Cheer up baby, cheer up baby",Jihyo
 jom deo himeul nae,Jihyo
 yeojaga shwipge mameul jumyeon andwae,Jihyo
 geuraeya niga nal deo joahage dwelkkeol,Jihyo
taeyeonhage yeongihallae amureochi anke,Nayeon
 naega neol joahaneun mam moreuge,Nayeon
 Just get it together,Nayeon
 And then baby cheer up,Nayeon
anjeolbujeol moksoriga yeogikkaji deullyeo,Chaeyoung
ttame jeojeun jeonhwagiga yeogiseodo boyeo,Dahyun
baro baro daedapaneun geotto maeryeok eopseo,Chaeyoung
meshijiman ilkko hwagin an haneun geon gibon,Dahyun
neomu shimhaenna Boy,Chaeyoung
 ireodaga jichilkka bwa geokjeongdwegin hago,Chaeyoung
an geureomyeon naega deo,Dahyun
 ppajil kkeonman gateo ppajil kkeonman gateo,Dahyun
Oh a dapjangeul motaejweoseo mianhae,Tzuyu
chingureul mannaneura Shy shy shy,Sana
mannagin jom geureoku mianhae,Tzuyu
jom itta yeollakalkke Later,Sana
joreuji ma eodi gaji ana,Momo
 dweeo julkke neoye Baby,Momo
neomu ppallin shireo seongereul deo boyeo,Jeongyeon
 naega neol gidaryeo julkke,Jeongyeon
"Cheer up baby, cheer up baby",Jihyo
 jom deo himeul nae,Jihyo
 yeojaga shwipge mameul jumyeon andwae,Jihyo
 geuraeya niga nal deo joahage dwelkkeol,Jihyo
taeyeonhage yeongihallae amureochi anke,Nayeon
 naega neol joahaneun mam moreuge,Nayeon
 Jutt get it together,Nayeon
 And then baby cheer up,Nayeon
nado niga joa sangcheo ibeulkka bwa,Mina
geokjeongdwejiman yeojanikka ihaehaejugil,Nayeon
sok maeum deulkil kkabwa geobina,Jihyo
jigeumcheoreom jogeumman deo dagawa,Nayeon
geuri orae geollijin ana,Jihyo
Just get it together,Nayeon
And then baby cheer up,Nayeon
"(Oh) Cheer up baby, cheer up baby",Jeongyeon
(Oh) ,Jihyo
jom deo himeul nae,Jeongyeon
yeojaga shwipge mameul jumyeon andwae,Jihyo
 geuraeya niga nal deo joahage dwelkkeol,Jihyo
taeyeonhage yeongihallae amureochi anke,Nayeon
Na,Nayeon
Ji,Jihyo
 Just get it together,Nayeon
 And then baby cheer up,Nayeon
